"Description","Link"
"What if we could visualize abstract algebra? In this paper, Rekha Biswal and Axiom Math staff bridge the gap between complex Lie algebra decompositions and visual combinatorics. By proving that certain algebraic sequences are always positive, they show these abstract structures can be mapped out with simple, geometric models like ""Dyck paths"".  AxiomProver autonomously produced and verified the theorems in Lean/mathlib.","https://arxiv.org/abs/2604.25246"
"Yifeng Huang introduces a method to analyze geometric structures called Dyck paths, proving that certain calculations within these models remain stable and finite. This stability is essential for understanding the underlying geometry of complex mathematical curves. AxiomMath assisted Huang by using the Axiom Prover system to autonomously formalize the paper’s primary theorem into a machine-verifiable proof. This partnership demonstrates a reliable process for using AI to certify the logic of human-led research, bridging the gap between mathematical discovery and formal verification.","https://arxiv.org/abs/2604.13238"
"This paper centers on the great Srinivasa Ramanujan’s mysterious tau function, asking how often it can take prime values. Assuming the abc conjecture, it shows that such prime values are extraordinarily rare, missing almost all primes, while still suggesting a sparse infinity may remain. AxiomProver autonomously proved the main engine and autoformalized it in Lean.","https://arxiv.org/abs/2603.29970"
"This paper sits at the crossroads of geometry and dynamics, studying which rational triangles give rise to especially symmetric billiard surfaces. Building on the Mirzakhani–Wright obstruction, named in part for Fields Medalist Maryam Mirzakhani, it shows that such triangles are extraordinarily rare. AxiomProver autoformalized the main engine in Lean.","https://arxiv.org/abs/2603.23928"
"This paper sits in the landscape of number theory inspired by Fermat’s Last Theorem. It is in algebraic number theory, focusing on the subtle ways prime numbers shape the arithmetic of cyclotomic fields and Bernoulli numbers. It proves that almost every prime avoids a large initial range of the obstructions that cause classical irregularity, with consequences for class groups, modular forms, and algebraic K-theory. AxiomProver autonomously proved the main theorem and autoformalized it in Lean.","https://arxiv.org/abs/2602.05090"
"This paper lies in geometry and dynamics, studying how flat structures on spheres and tori split into different families. It turns a previously conditional classification into a complete theorem by proving the missing number-theoretic step. AxiomProver autonomously found the key proof idea and autoformalized the central combinatorial condition in Lean.","https://arxiv.org/abs/2602.03722"
"This paper sits in commutative algebra, studying the hidden structure of numerical semigroups through the relations inside their associated rings. It settles a conjecture of Leonid Fel by giving a complete general formula and showing why it works. AxiomProver autonomously proved the result and autoformalized it in Lean.","https://arxiv.org/abs/2602.03716"
"This paper sits at the intersection of machine learning and mathematics, using the Collatz sequence to examine what transformers actually learn when performing difficult arithmetic computations. It shows that, although accuracy varies sharply with the numeral base, all models learn the same underlying structure: classes of inputs determined by powers of 2 and the loop lengths built into the computation. The paper gives a mathematically interpretable account of both success and failure, showing that most errors come from misjudging how long the computation should run rather than from producing arbitrary outputs.","https://arxiv.org/abs/2511.10811"
"Axiom Staff study reciprocal sums built from partition “subsum polynomials,” addressing ten conjectures posed by Ballantine, Beck, Feigon, and Maurischat. They prove six of the conjectures using elementary number theory and cyclotomic polynomials, while AxiomProver autonomously produced Lean/mathlib formalizations of the proofs and discovered a counterexample to one statement as originally posed.","https://arxiv.org/abs/2605.21718"
"Axiom Math Staff and Harvard Business School Professor Scott Duke Kominers use Lean to formalize Nobel laureate Robert Aumann’s classic theorem on why rational agents with shared beliefs cannot have common knowledge that they disagree. The paper treats the theorem as a case study in “assumption accounting”: showing how formal proof can verify a familiar argument while also exposing exactly which economic and mathematical assumptions make the conclusion possible.","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6837298"
